Features
temporalpole_meancurv
transversetemporal_meancurv
insula_meancurv
bankssts_gauscurv
caudalanteriorcingulate_gauscurv
caudalmiddlefrontal_gauscurv
cuneus_gauscurv
entorhinal_gauscurv
fusiform_gauscurv
inferiorparietal_gauscurv
inferiortemporal_gauscurv
isthmuscingulate_gauscurv
lateraloccipital_gauscurv
lateralorbitofrontal_gauscurv
lingual_gauscurv
medialorbitofrontal_gauscurv
middletemporal_gauscurv
parahippocampal_gauscurv
paracentral_gauscurv
parsopercularis_gauscurv
parsorbitalis_gauscurv
parstriangularis_gauscurv
pericalcarine_gauscurv
postcentral_gauscurv
posteriorcingulate_gauscurv
precentral_gauscurv
precuneus_gauscurv
rostralanteriorcingulate_gauscurv
rostralmiddlefrontal_gauscurv
superiorfrontal_gauscurv
superiorparietal_gauscurv
superiortemporal_gauscurv
supramarginal_gauscurv
frontalpole_gauscurv
temporalpole_gauscurv
transversetemporal_gauscurv
insula_gauscurv
bankssts_foldind
caudalanteriorcingulate_foldind
caudalmiddlefrontal_foldind
cuneus_foldind
entorhinal_foldind
fusiform_foldind
inferiorparietal_foldind
inferiortemporal_foldind
isthmuscingulate_foldind
lateraloccipital_foldind
lateralorbitofrontal_foldind
lingual_foldind
medialorbitofrontal_foldind
middletemporal_foldind
parahippocampal_foldind
paracentral_foldind
parsopercularis_foldind
parsorbitalis_foldind
parstriangularis_foldind
pericalcarine_foldind
postcentral_foldind
posteriorcingulate_foldind
precentral_foldind
precuneus_foldind
rostralanteriorcingulate_foldind
rostralmiddlefrontal_foldind
superiorfrontal_foldind
superiorparietal_foldind
superiortemporal_foldind
supramarginal_foldind
frontalpole_foldind
temporalpole_foldind
transversetemporal_foldind
insula_foldind
bankssts_curvind
caudalanteriorcingulate_curvind
caudalmiddlefrontal_curvind
cuneus_curvind
entorhinal_curvind
fusiform_curvind
inferiorparietal_curvind
inferiortemporal_curvind
isthmuscingulate_curvind
lateraloccipital_curvind
lateralorbitofrontal_curvind
lingual_curvind
medialorbitofrontal_curvind
middletemporal_curvind
parahippocampal_curvind
paracentral_curvind
parsopercularis_curvind
parsorbitalis_curvind
parstriangularis_curvind
pericalcarine_curvind
postcentral_curvind
posteriorcingulate_curvind
precentral_curvind
precuneus_curvind
rostralanteriorcingulate_curvind
rostralmiddlefrontal_curvind
superiorfrontal_curvind
superiorparietal_curvind
superiortemporal_curvind
supramarginal_curvind
frontalpole_curvind
temporalpole_curvind
transversetemporal_curvind
insula_curvind
Thickness
SurfArea
ICV
