,Features
261,L_precuneus_foldind
262,L_rostralanteriorcingulate_foldind
263,L_rostralmiddlefrontal_foldind
264,L_superiorfrontal_foldind
265,L_superiorparietal_foldind
266,L_superiortemporal_foldind
267,L_supramarginal_foldind
268,L_frontalpole_foldind
269,L_temporalpole_foldind
270,L_transversetemporal_foldind
271,L_insula_foldind
272,L_bankssts_curvind
273,L_caudalanteriorcingulate_curvind
274,L_caudalmiddlefrontal_curvind
275,L_cuneus_curvind
276,L_entorhinal_curvind
277,L_fusiform_curvind
278,L_inferiorparietal_curvind
279,L_inferiortemporal_curvind
280,L_isthmuscingulate_curvind
281,L_lateraloccipital_curvind
282,L_lateralorbitofrontal_curvind
283,L_lingual_curvind
284,L_medialorbitofrontal_curvind
285,L_middletemporal_curvind
286,L_parahippocampal_curvind
287,L_paracentral_curvind
288,L_parsopercularis_curvind
289,L_parsorbitalis_curvind
290,L_parstriangularis_curvind
291,L_pericalcarine_curvind
292,L_postcentral_curvind
293,L_posteriorcingulate_curvind
294,L_precentral_curvind
295,L_precuneus_curvind
296,L_rostralanteriorcingulate_curvind
297,L_rostralmiddlefrontal_curvind
298,L_superiorfrontal_curvind
299,L_superiorparietal_curvind
300,L_superiortemporal_curvind
301,L_supramarginal_curvind
302,L_frontalpole_curvind
303,L_temporalpole_curvind
304,L_transversetemporal_curvind
305,L_insula_curvind
306,R_bankssts_thickavg
307,R_caudalanteriorcingulate_thickavg
308,R_caudalmiddlefrontal_thickavg
309,R_cuneus_thickavg
310,R_entorhinal_thickavg
311,R_fusiform_thickavg
312,R_inferiorparietal_thickavg
313,R_inferiortemporal_thickavg
314,R_isthmuscingulate_thickavg
315,R_lateraloccipital_thickavg
316,R_lateralorbitofrontal_thickavg
317,R_lingual_thickavg
318,R_medialorbitofrontal_thickavg
319,R_middletemporal_thickavg
320,R_parahippocampal_thickavg
321,R_paracentral_thickavg
322,R_parsopercularis_thickavg
323,R_parsorbitalis_thickavg
324,R_parstriangularis_thickavg
325,R_pericalcarine_thickavg
326,R_postcentral_thickavg
327,R_posteriorcingulate_thickavg
328,R_precentral_thickavg
329,R_precuneus_thickavg
330,R_rostralanteriorcingulate_thickavg
331,R_rostralmiddlefrontal_thickavg
332,R_superiorfrontal_thickavg
333,R_superiorparietal_thickavg
334,R_superiortemporal_thickavg
335,R_supramarginal_thickavg
336,R_frontalpole_thickavg
337,R_temporalpole_thickavg
338,R_transversetemporal_thickavg
339,R_insula_thickavg
340,R_bankssts_surfavg
341,R_caudalanteriorcingulate_surfavg
342,R_caudalmiddlefrontal_surfavg
343,R_cuneus_surfavg
344,R_entorhinal_surfavg
345,R_fusiform_surfavg
346,R_inferiorparietal_surfavg
347,R_inferiortemporal_surfavg
348,R_isthmuscingulate_surfavg
349,R_lateraloccipital_surfavg
350,R_lateralorbitofrontal_surfavg
351,R_lingual_surfavg
352,R_medialorbitofrontal_surfavg
353,R_middletemporal_surfavg
